KILLER,VICTIM,UHC,METHOD,TIME,COMMENT,,
XmasGoose,icedrake25,36,sot,3:13:12,,,
XmasGoose,Shananalovesdem,36,slew,3:13:32,,,
XmasGoose,belundun,36,slew,3:13:37,,,
XmasGoose,IntenseYogurt,36,slew,3:36:03,,,
XmasGoose,Wolfzx99,36,shot,3:36:20,,,
XmasGoose,mrdagger17,36,slew,3:42:41,,,
seanm105,Dunkersplatt,36,slew,3:49:48,,,
XmasGoose,St33n3r,36,shot,3:49:56,,,
Koi_Pond,Meyeravi,37,slew,2:13:54,,,
ZenStryk,Dunkersplatt,37,slew,2:14:50,,,
YungSpesh,belundun,37,slew,2:15:14,,,
YungSpesh,ZenStryk,37,slew,2:15:16,,,
Shananalovesdem,YungSpesh,37,slew,2:15:18,,,
Shananalovesdem,xcatieladyx,37,slew,2:15:19,,,
,brassline,37,creeper,2:20:07,,,
seanm105,icedrake25,37,slew,3:38:20,,,
ToaNuparu,Shananalovesdem,37,lava,3:38:41,,,
seanm105,Koi_Pond,37,slew,3:40:11,,,
IntenseYogurt,St33n3r,37,shot,3:40:49,,,
XmasGoose,Wolfzx99,37,slew,3:41:01,,,
