PLAYER,UHC,TEAM,COMMENT,,,,,,,
Wolfzx99,29,Evil,,,,,,,,
seanm105,29,Evil,,,,,,,,
IntenseYogurt,29,Evil,,,,,,,,
YungSpesh,30,Heat,,,,,,,,
belundun,30,Uconn,,,,,,,,
_pau1,30,Evil,,,,,,,,
1ottsco,30,Beast,,,,,,,,
seanm105,30,Evil,,,,,,,,
Dunkersplatt,30,Beast,,,,,,,,
XmasGoose,30,Beast,,,,,,,,
Wolfzx99,30,Evil,,,,,,,,
ToaNuparu,30,Evil,,,,,,,,
mrdagger17,30,Evil,,,,,,,,
Shananalovesdem,30,Uconn,,,,,,,,
icedrake25,30,Uconn,,,,,,,,
Koi_Pond,30,Uconn,,,,,,,,
mikecherry,30,Heat,,,,,,,,
IntenseYogurt,30,Heat,,,,,,,,
Koi_Pond,31,Uconn,,,,,,,,
Meyeravi,31,BC,,,,,,,,
YungSpesh,31,BC,,,,,,,,
icedrake25,31,Uconn,,,,,,,,
seanm105,31,Evil,,,,,,,,
RawNoodl3,31,BC,,,,,,,,
Shananalovesdem,31,Uconn,,,,,,,,
Dunkersplatt,31,BC,,,,,,,,
mikecherry,31,Cherry,,,,,,,,
Wolfzx99,31,Evil,,,,,,,,
IntenseYogurt,31,Evil,,,,,,,,
belundun,31,Uconn,,,,,,,,
St33n3r,31,BC,,,,,,,,
brassline,31,BC,,,,,,,,
1ottsco,31,Beast,,,,,,,,
mrdagger17,31,Evil,,,,,,,,
XmasGoose,31,Beast,,,,,,,,
ToaNuparu,31,Evil,,,,,,,,
xcatieladyx,32,BC,,,,,,,,
mikecherry,32,Cherry,,,,,,,,
IntenseYogurt,32,Evil,,,,,,,,
1ottsco,32,Beast,,,,,,,,
seanm105,32,Evil,,,,,,,,
XmasGoose,32,Beast,,,,,,,,
ZenStryk,32,Uconn,,,,,,,,
St33n3r,32,BC,,,,,,,,
StereoTypicaly,32,Twitch,,,,,,,,
Nova_MC,32,Twitch,,,,,,,,
Dunkersplatt,32,BC,,,,,,,,
icedrake25,32,Uconn,,,,,,,,
brassline,32,BC,,,,,,,,
belundun,32,Uconn,,,,,,,,
Shananalovesdem,32,Uconn,,,,,,,,
meddi3,32,Cherry,,,,,,,,
Albertc5555,32,Cherry,,,,,,,,
huef,32,Twitch,,,,,,,,
ToaNuparu,32,Evil,,,,,,,,
YungSpesh,32,BC,,,,,,,,
mrdagger17,32,Evil,,,,,,,,
belundun,33,Uconn,,,,,,,,
Koi_Pond,33,Uconn,,,,,,,,
icedrake25,33,Uconn,,,,,,,,
Wolfzx99,33,Evil,,,,,,,,
XmasGoose,33,Beast,,,,,,,,
St33n3r,33,BC,,,,,,,,
mrdagger17,33,Evil,,,,,,,,
Dunkersplatt,33,BC,,,,,,,,
seanm105,33,Evil,,,,,,,,
ToaNuparu,33,Beast,,,,,,,,
IntenseYogurt,33,Evil,,,,,,,,
YungSpesh,33,BC,,,,,,,,
Shananalovesdem,33,Uconn,,,,,,,,
brassline,33,BC,,,,,,,,
Koi_Pond,34,Uconn,,,,,,,,
_pau1,34,Beast,,,,,,,,
icedrake25,34,Uconn,,,,,,,,
meddi3,34,Cherry,,,,,,,,
mikecherry,34,Cherry,,,,,,,,
belundun,34,Uconn,,,,,,,,
Shananalovesdem,34,Uconn,,,,,,,,
Albertc5555,34,Cherry,,,,,,,,
1ottsco,34,Beast,,,,,,,,
mrdagger17,34,Evil,,,,,,,,
Wolfzx99,34,Evil,,,,,,,,
ToaNuparu,34,Beast,,,,,,,,
seanm105,34,Evil,,,,,,,,
Dunkersplatt,34,BC,,,,,,,,
XmasGoose,34,Beast,,,,,,,,
IntenseYogurt,34,Evil,,,,,,,,
